redcap_data_access_group,redcap_data_access_group_unlabelled,dag_id,place_name,postcode,country,lon,lat,ccg,tds_mean,postcode_start,city,imd_average_postcodes_new
University Hospitals Bristol NHFT,university_hospitah,RA723,Bristol Royal Hospital For Children,BS2 8BJ,England,-2.5973148345947266,51.457752227783203,E38000222,-0.29553926527199337,BS2,Bristol,17490.317487720662
Torbay and south Devon Hospital,torbay_and_south_d,RA901,Torbay Hospital,TQ2 7AA,England,-3.5537905693054199,50.482322692871094,E38000230,-0.9462035169519096,TQ2,Torbay,15893.936825769333
Bradford Teaching Hospitals NHSFT,bradford_teaching,RAE01,Bradford Royal Infirmary,BD9 6RJ,England,-1.7946816682815552,53.805984497070313,E38000019,0.9191928711119866,BD9,Bradford,9911.491746389045
Mid and South Essex University Hospitals Group,mid_and_south_esseb,RAJ01,Southend Hospital,SS0 0RY,England,0.68863177299499512,51.553836822509766,E38000168,0.6785578474584543,SS0,Southend-on-Sea,14682.917420235455
Royal Free Hospital,royal_free_hospita,RAL01,Royal Free Hospital,NW3 2QG,England,-0.16530923545360565,51.55322265625,E38000027,4.9936313463509014,NW3,Camden,16052.945986403043
North Middlesex University Hospital NHST,north_middlesex_un,RAPNM,North Middlesex University Hospital,N18 1QX,England,-7.3735140264034271E-2,51.613094329833984,E38000057,2.603296394876533,N18,Enfield,13703.69021794222
Hillingdon Hospital,hillingdon_hospita,RAS01,Hillingdon Hospital,UB8 3NN,England,-0.46116036176681519,51.526077270507812,E38000082,1.670894113985834,UB8,Hillingdon,16408.8142044907
Kingston Hospital NHS Foundation Trust,kingston_hospital,RAX01,Kingston Hospital,KT2 7QB,England,-0.2826094925403595,51.414825439453125,E38000090,0.3301912681908488,KT2,Kingston upon Thames,22529.488008164655
Musgrove Park Hospital,musgrove_park_hosp,RBA11,Musgrove Park Hospital,TA1 5DA,England,-3.1216795444488525,51.011577606201172,E38000150,-1.4620242768664284,TA1,Somerset,16541.887105947353
Dorset County Hospital NHFT,dorset_county_hosp,RBD01,Dorset County Hospital,DT1 2JY,England,-2.4469225406646729,50.712944030761719,E38000045,-0.9709586146820578,DT1,West Dorset,17930.24531962363
